Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94076

Filename                                Filetype  Station                              Parameter                                                   Period
order_94076_TAE_rhh150mx_1_data.txt     Data      Aadorf / Tänikon                     Precipitation; maximum total per hour of the month          198012-201110
order_94076_NABBER_rhh150mx_16_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum total per hour of the month          200506-200907
order_94076_NABBER_rhh150mx_17_data.txt Data      Bern-Bollwerk                        Precipitation; maximum total per hour of the month          200908-201706
order_94076_NABBER_rhh150mx_17_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum total per hour of the month          200908-201706
order_94076_NABBER_rhh150mx_18_data.txt Data      Bern-Bollwerk                        Precipitation; maximum total per hour of the month          201708-201709
order_94076_NABBER_rhh150mx_18_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum total per hour of the month          201708-201709
order_94076_NABBER_rhh150mx_19_data.txt Data      Bern-Bollwerk                        Precipitation; maximum total per hour of the month          201711-202103
order_94076_NABBER_rhh150mx_19_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum total per hour of the month          201711-202103
order_94076_BRZ_rhh150mx_1_data.txt     Data      Brienz                               Precipitation; maximum total per hour of the month          201206-202103
order_94076_BRZ_rhh150mx_1_legend.txt   Legend    Brienz                               Precipitation; maximum total per hour of the month          201206-202103
order_94076_IYBRI_rhh150mx_1_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum total per hour of the month          201111-201902
order_94076_IYBRI_rhh150mx_1_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum total per hour of the month          201111-201902
order_94076_IYBRI_rhh150mx_2_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum total per hour of the month          201905-201907
order_94076_IYBRI_rhh150mx_2_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum total per hour of the month          201905-201907
order_94076_IYBRI_rhh150mx_3_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum total per hour of the month          201909-201912
order_94076_IYBRI_rhh150mx_3_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum total per hour of the month          201909-201912
order_94076_IYBRI_rhh150mx_4_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202001-202004
order_94076_IYBRI_rhh150mx_4_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202001-202004
order_94076_IYBRI_rhh150mx_5_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202005-202006
order_94076_IYBRI_rhh150mx_5_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202005-202006
order_94076_IYBRI_rhh150mx_6_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202008-202012
order_94076_IYBRI_rhh150mx_6_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202008-202012
order_94076_IYBRI_rhh150mx_7_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202102-202103
order_94076_IYBRI_rhh150mx_7_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202102-202103
order_94076_BEBUD_rhh150mx_1_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the month          201312-201610
order_94076_BEBUD_rhh150mx_1_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the month          201312-201610
order_94076_BEBUD_rhh150mx_2_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the month          201712-201810
order_94076_BEBUD_rhh150mx_2_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the month          201712-201810
order_94076_BEBUD_rhh150mx_3_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the month          201901-202004
order_94076_BEBUD_rhh150mx_3_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the month          201901-202004
order_94076_BEBUD_rhh150mx_4_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the month          202005-202102
order_94076_BEBUD_rhh150mx_4_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the month          202005-202102
order_94076_BEBUE_rhh150mx_1_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201312-201610
order_94076_BEBUE_rhh150mx_1_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201312-201610
order_94076_BEBUE_rhh150mx_2_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201612-201707
order_94076_BEBUE_rhh150mx_2_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201612-201707
order_94076_BEBUE_rhh150mx_3_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201708-201711
order_94076_BEBUE_rhh150mx_3_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201708-201711
order_94076_BEBUE_rhh150mx_4_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201712-201804
order_94076_BEBUE_rhh150mx_4_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201712-201804
order_94076_BEBUE_rhh150mx_5_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201805-202004
order_94076_BEBUE_rhh150mx_5_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          201805-202004
order_94076_BEBUE_rhh150mx_6_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          202005-202008
order_94076_BEBUE_rhh150mx_6_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          202005-202008
order_94076_BEBUE_rhh150mx_7_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          202009-202011
order_94076_BEBUE_rhh150mx_7_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          202009-202011
order_94076_BEBUE_rhh150mx_8_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          202012-202102
order_94076_BEBUE_rhh150mx_8_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          202012-202102
order_94076_BEBUV_rhh150mx_1_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          201312-201606
order_94076_BEBUV_rhh150mx_1_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          201312-201606
order_94076_BEBUV_rhh150mx_2_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          201712-202004
order_94076_BEBUV_rhh150mx_2_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          201712-202004
order_94076_BEBUV_rhh150mx_3_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          202005-202011
order_94076_BEBUV_rhh150mx_3_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          202005-202011
order_94076_BEBUV_rhh150mx_4_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          202012-202102
order_94076_BEBUV_rhh150mx_4_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the month          202012-202102
order_94076_UBB_rhh150mx_1_data.txt     Data      Bözberg                              Precipitation; maximum total per hour of the month          201409-201411
order_94076_UBB_rhh150mx_1_legend.txt   Legend    Bözberg                              Precipitation; maximum total per hour of the month          201409-201411
order_94076_UBB_rhh150mx_2_data.txt     Data      Bözberg                              Precipitation; maximum total per hour of the month          201501-201707
order_94076_UBB_rhh150mx_2_legend.txt   Legend    Bözberg                              Precipitation; maximum total per hour of the month          201501-201707
order_94076_UBB_rhh150mx_3_data.txt     Data      Bözberg                              Precipitation; maximum total per hour of the month          201708-202103
order_94076_UBB_rhh150mx_3_legend.txt   Legend    Bözberg                              Precipitation; maximum total per hour of the month          201708-202103
order_94076_TICAB_rhh150mx_1_data.txt   Data      Cabbio                               Precipitation; maximum total per hour of the month          201407-201612
order_94076_TICAB_rhh150mx_1_legend.txt Legend    Cabbio                               Precipitation; maximum total per hour of the month          201407-201612
order_94076_TICAB_rhh150mx_2_data.txt   Data      Cabbio                               Precipitation; maximum total per hour of the month          201701-201912
order_94076_TICAB_rhh150mx_2_legend.txt Legend    Cabbio                               Precipitation; maximum total per hour of the month          201701-201912
order_94076_TICAB_rhh150mx_3_data.txt   Data      Cabbio                               Precipitation; maximum total per hour of the month          202001-202005
order_94076_TICAB_rhh150mx_3_legend.txt Legend    Cabbio                               Precipitation; maximum total per hour of the month          202001-202005
order_94076_TICAB_rhh150mx_4_data.txt   Data      Cabbio                               Precipitation; maximum total per hour of the month          202006-202103
order_94076_TICAB_rhh150mx_4_legend.txt Legend    Cabbio                               Precipitation; maximum total per hour of the month          202006-202103
order_94076_TICMD_rhh150mx_1_data.txt   Data      Camedo                               Precipitation; maximum total per hour of the month          200509-201612
order_94076_TICMD_rhh150mx_1_legend.txt Legend    Camedo                               Precipitation; maximum total per hour of the month          200509-201612
order_94076_TICMD_rhh150mx_2_data.txt   Data      Camedo                               Precipitation; maximum total per hour of the month          201701-202005
order_94076_TICMD_rhh150mx_2_legend.txt Legend    Camedo                               Precipitation; maximum total per hour of the month          201701-202005
order_94076_TICMD_rhh150mx_3_data.txt   Data      Camedo                               Precipitation; maximum total per hour of the month          202006-202103
order_94076_TICMD_rhh150mx_3_legend.txt Legend    Camedo                               Precipitation; maximum total per hour of the month          202006-202103
order_94076_DLCHI_rhh150mx_1_data.txt   Data      Chieming                             Precipitation; maximum total per hour of the month          202008-202103
order_94076_DLCHI_rhh150mx_1_legend.txt Legend    Chieming                             Precipitation; maximum total per hour of the month          202008-202103
order_94076_CHU_rhh150mx_1_data.txt     Data      Chur                                 Precipitation; maximum total per hour of the month          198012-201408
order_94076_CHU_rhh150mx_1_legend.txt   Legend    Chur                                 Precipitation; maximum total per hour of the month          198012-201408
order_94076_CHU_rhh150mx_2_data.txt     Data      Chur                                 Precipitation; maximum total per hour of the month          201410-201607
order_94076_CHU_rhh150mx_2_legend.txt   Legend    Chur                                 Precipitation; maximum total per hour of the month          201410-201607
order_94076_CHU_rhh150mx_3_data.txt     Data      Chur                                 Precipitation; maximum total per hour of the month          201608-201709
order_94076_CHU_rhh150mx_3_legend.txt   Legend    Chur                                 Precipitation; maximum total per hour of the month          201608-201709
order_94076_CHU_rhh150mx_4_data.txt     Data      Chur                                 Precipitation; maximum total per hour of the month          201711-202009
order_94076_CHU_rhh150mx_4_legend.txt   Legend    Chur                                 Precipitation; maximum total per hour of the month          201711-202009
order_94076_CHU_rhh150mx_5_data.txt     Data      Chur                                 Precipitation; maximum total per hour of the month          202010-202103
order_94076_CHU_rhh150mx_5_legend.txt   Legend    Chur                                 Precipitation; maximum total per hour of the month          202010-202103
order_94076_VDCOR_rhh150mx_1_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; maximum total per hour of the month          201212-202103
order_94076_VDCOR_rhh150mx_1_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; maximum total per hour of the month          201212-202103
order_94076_COS_rhh150mx_1_data.txt     Data      Cossonay                             Precipitation; maximum total per hour of the month          201410-201505
order_94076_COS_rhh150mx_1_legend.txt   Legend    Cossonay                             Precipitation; maximum total per hour of the month          201410-201505
order_94076_COS_rhh150mx_2_data.txt     Data      Cossonay                             Precipitation; maximum total per hour of the month          201506-201811
order_94076_COS_rhh150mx_2_legend.txt   Legend    Cossonay                             Precipitation; maximum total per hour of the month          201506-201811
order_94076_COS_rhh150mx_3_data.txt     Data      Cossonay                             Precipitation; maximum total per hour of the month          201812-201906
order_94076_COS_rhh150mx_3_legend.txt   Legend    Cossonay                             Precipitation; maximum total per hour of the month          201812-201906
order_94076_COS_rhh150mx_4_data.txt     Data      Cossonay                             Precipitation; maximum total per hour of the month          201907-202007
order_94076_COS_rhh150mx_4_legend.txt   Legend    Cossonay                             Precipitation; maximum total per hour of the month          201907-202007
order_94076_COS_rhh150mx_5_data.txt     Data      Cossonay                             Precipitation; maximum total per hour of the month          202008-202103
order_94076_COS_rhh150mx_5_legend.txt   Legend    Cossonay                             Precipitation; maximum total per hour of the month          202008-202103
order_94076_GLDBA_rhh150mx_1_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201309-201404
order_94076_GLDBA_rhh150mx_1_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201309-201404
order_94076_GLDBA_rhh150mx_2_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201407-201412
order_94076_GLDBA_rhh150mx_2_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201407-201412
order_94076_GLDBA_rhh150mx_3_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201501-201507
order_94076_GLDBA_rhh150mx_3_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201501-201507
order_94076_GLDBA_rhh150mx_4_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201508-201509
order_94076_GLDBA_rhh150mx_4_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201508-201509
order_94076_GLDBA_rhh150mx_5_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201511-201609
order_94076_GLDBA_rhh150mx_5_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201511-201609
order_94076_GLDBA_rhh150mx_6_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201611-201804
order_94076_GLDBA_rhh150mx_6_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201611-201804
order_94076_GLDBA_rhh150mx_7_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201806-201812
order_94076_GLDBA_rhh150mx_7_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201806-201812
order_94076_GLDBA_rhh150mx_8_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201901-201904
order_94076_GLDBA_rhh150mx_8_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201901-201904
order_94076_GLDBA_rhh150mx_9_data.txt   Data      Diesbach                             Precipitation; maximum total per hour of the month          201906-202004
order_94076_GLDBA_rhh150mx_9_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          201906-202004
order_94076_GLDBA_rhh150mx_10_data.txt  Data      Diesbach                             Precipitation; maximum total per hour of the month          202005-202006
order_94076_GLDBA_rhh150mx_10_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          202005-202006
order_94076_GLDBA_rhh150mx_11_data.txt  Data      Diesbach                             Precipitation; maximum total per hour of the month          202009-202010
order_94076_GLDBA_rhh150mx_11_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          202009-202010
order_94076_GLDBA_rhh150mx_12_data.txt  Data      Diesbach                             Precipitation; maximum total per hour of the month          202011-202103
order_94076_GLDBA_rhh150mx_12_legend.txt Legend    Diesbach                             Precipitation; maximum total per hour of the month          202011-202103
order_94076_TGDUS_rhh150mx_1_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201008-201009
order_94076_TGDUS_rhh150mx_1_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201008-201009
order_94076_TGDUS_rhh150mx_2_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201010-201107
order_94076_TGDUS_rhh150mx_2_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201010-201107
order_94076_TGDUS_rhh150mx_3_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201108-201303
order_94076_TGDUS_rhh150mx_3_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201108-201303
order_94076_TGDUS_rhh150mx_4_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201304-201306
order_94076_TGDUS_rhh150mx_4_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201304-201306
order_94076_TGDUS_rhh150mx_5_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201310-201404
order_94076_TGDUS_rhh150mx_5_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201310-201404
order_94076_TGDUS_rhh150mx_6_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201405-201406
order_94076_TGDUS_rhh150mx_6_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201405-201406
order_94076_TGDUS_rhh150mx_7_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201408-201410
order_94076_TGDUS_rhh150mx_7_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201408-201410
order_94076_TGDUS_rhh150mx_8_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201411-201504
order_94076_TGDUS_rhh150mx_8_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201411-201504
order_94076_TGDUS_rhh150mx_9_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          201508-201606
order_94076_TGDUS_rhh150mx_9_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201508-201606
order_94076_TGDUS_rhh150mx_10_data.txt  Data      Dussnang                             Precipitation; maximum total per hour of the month          201607-201711
order_94076_TGDUS_rhh150mx_10_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201607-201711
order_94076_TGDUS_rhh150mx_11_data.txt  Data      Dussnang                             Precipitation; maximum total per hour of the month          201712-201811
order_94076_TGDUS_rhh150mx_11_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201712-201811
order_94076_TGDUS_rhh150mx_12_data.txt  Data      Dussnang                             Precipitation; maximum total per hour of the month          201812-201906
order_94076_TGDUS_rhh150mx_12_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201812-201906
order_94076_TGDUS_rhh150mx_13_data.txt  Data      Dussnang                             Precipitation; maximum total per hour of the month          201908-201909
order_94076_TGDUS_rhh150mx_13_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201908-201909
order_94076_TGDUS_rhh150mx_14_data.txt  Data      Dussnang                             Precipitation; maximum total per hour of the month          201910-202103
order_94076_TGDUS_rhh150mx_14_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          201910-202103
order_94076_DLEBE_rhh150mx_1_data.txt   Data      Ebersberg                            Precipitation; maximum total per hour of the month          200609-200911
order_94076_DLEBE_rhh150mx_1_legend.txt Legend    Ebersberg                            Precipitation; maximum total per hour of the month          200609-200911
order_94076_DLEBE_rhh150mx_2_data.txt   Data      Ebersberg                            Precipitation; maximum total per hour of the month          201001-201204
order_94076_DLEBE_rhh150mx_2_legend.txt Legend    Ebersberg                            Precipitation; maximum total per hour of the month          201001-201204
order_94076_DLEBE_rhh150mx_3_data.txt   Data      Ebersberg                            Precipitation; maximum total per hour of the month          201205-201604
order_94076_DLEBE_rhh150mx_3_legend.txt Legend    Ebersberg                            Precipitation; maximum total per hour of the month          201205-201604
order_94076_DLEBE_rhh150mx_4_data.txt   Data      Ebersberg                            Precipitation; maximum total per hour of the month          201606-201805
order_94076_DLEBE_rhh150mx_4_legend.txt Legend    Ebersberg                            Precipitation; maximum total per hour of the month          201606-201805
order_94076_DLEBE_rhh150mx_5_data.txt   Data      Ebersberg                            Precipitation; maximum total per hour of the month          201807-202008
order_94076_DLEBE_rhh150mx_5_legend.txt Legend    Ebersberg                            Precipitation; maximum total per hour of the month          201807-202008
order_94076_DLEBE_rhh150mx_6_data.txt   Data      Ebersberg                            Precipitation; maximum total per hour of the month          202009-202103
order_94076_DLEBE_rhh150mx_6_legend.txt Legend    Ebersberg                            Precipitation; maximum total per hour of the month          202009-202103
